,Row ID,Ship Date,Product ID,Category,Sub-Category,Product Name,Sales
48,49,25/06/2017,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
49,50,22/04/2016,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
50,51,22/04/2016,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18
51,52,22/04/2016,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16
52,53,22/04/2016,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99
53,54,17/12/2017,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26
54,55,17/12/2017,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95
55,56,18/06/2017,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56
56,57,18/06/2017,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4
57,58,18/06/2017,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41
58,59,18/06/2017,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56
59,60,18/06/2017,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0
60,61,18/06/2017,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48
61,62,18/06/2017,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
62,63,30/11/2016,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
63,64,30/11/2016,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
64,65,30/11/2016,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73
65,66,30/11/2016,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76
66,67,05/05/2016,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115
67,68,10/12/2015,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
68,69,10/12/2015,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968
69,70,06/06/2017,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
70,71,23/09/2017,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.6160000000000005
71,72,17/09/2018,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
72,73,02/05/2016,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936
73,74,02/05/2016,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04
74,75,02/05/2016,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78399999999999
75,76,11/12/2018,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248
76,77,11/12/2018,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708
77,78,11/12/2018,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
78,79,01/12/2015,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3
79,80,15/06/2017,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16
80,81,15/06/2017,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74
81,82,16/10/2015,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9
82,83,16/10/2015,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39
83,84,08/09/2016,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984
84,85,16/11/2018,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.37599999999998
85,86,30/05/2018,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96
86,87,02/11/2018,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99
87,88,02/11/2018,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16
88,89,10/04/2017,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368
89,90,22/09/2017,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1
90,91,22/09/2017,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584
91,92,22/09/2017,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48
92,93,05/02/2016,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96
93,94,05/02/2016,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34
94,95,05/02/2016,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96
95,96,12/11/2018,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
96,97,11/11/2018,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
97,98,20/06/2018,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312
98,99,11/09/2017,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
99,100,02/09/2017,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624
100,101,02/09/2017,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976
101,102,02/09/2017,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788
102,103,04/12/2017,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
103,104,17/11/2016,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896
104,105,17/11/2016,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
105,106,17/11/2016,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882
106,107,28/11/2018,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112
107,108,28/11/2018,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.991999999999997
108,109,28/11/2018,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304
109,110,20/10/2016,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96
110,111,30/12/2018,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
111,112,10/11/2017,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
112,113,10/11/2017,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24
113,114,27/08/2015,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096
114,115,27/08/2015,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72
115,116,27/08/2015,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976
116,117,27/08/2015,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
117,118,06/03/2016,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53
118,119,10/04/2016,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.79399999999998
119,120,15/06/2017,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04
120,121,15/06/2017,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84
121,122,15/06/2017,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56
122,123,15/06/2017,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02
123,124,15/06/2017,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04
124,125,28/12/2015,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558
125,126,25/09/2015,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7
126,127,12/11/2018,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388
127,128,12/11/2018,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.99200000000002
128,129,10/11/2017,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.42399999999999
129,130,10/11/2017,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
130,131,05/02/2018,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97
131,132,05/02/2018,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304
132,133,05/02/2018,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456
133,134,19/10/2017,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04
134,135,19/10/2017,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44
135,136,19/10/2017,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52
136,137,19/10/2017,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02
137,138,19/10/2017,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176
138,139,19/10/2017,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88
139,140,19/10/2017,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12
140,141,07/09/2017,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8
141,142,23/09/2018,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82
142,143,23/09/2018,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86
143,144,23/09/2018,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,143.7
144,145,27/12/2018,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43
145,146,12/09/2016,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93
146,147,28/10/2015,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.88799999999999
147,148,09/12/2017,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45
148,149,09/12/2017,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97
149,150,09/12/2017,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84
150,151,09/12/2017,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55
151,152,16/03/2017,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92
152,153,16/03/2017,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.18400000000003
153,154,02/06/2016,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38
154,155,02/06/2016,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,105.52
155,156,02/06/2016,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",80.88
156,157,03/06/2016,OFF-AR-10001547,Office Supplies,Art,Newell 311,6.63
157,158,06/03/2015,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.56800000000004
158,159,24/11/2017,OFF-LA-10002475,Office Supplies,Labels,Avery 519,14.62
159,160,24/11/2017,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,944.93
160,161,12/05/2017,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98
161,162,31/12/2016,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.38399999999999
162,163,20/11/2017,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,28.4
163,164,11/11/2017,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68
164,165,12/09/2015,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,9.936
165,166,12/09/2015,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.951999999999
166,167,12/09/2015,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,275.928
167,168,12/09/2015,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06
168,169,12/09/2015,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064
169,170,12/09/2015,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,177.98
170,171,12/09/2015,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,143.976
171,172,09/08/2015,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94
172,173,09/08/2015,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,110.96
173,174,09/08/2015,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",340.144
174,175,19/09/2015,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448
175,176,19/09/2015,OFF-LA-10003148,Office Supplies,Labels,Avery 51,20.16
176,177,25/04/2018,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264
177,178,23/11/2016,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.80199999999996
178,179,23/11/2016,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,15.88
179,180,19/12/2016,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28
180,181,09/12/2015,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816
181,182,09/12/2015,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744
182,183,24/11/2015,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,503.96
183,184,24/11/2015,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),149.95
184,185,24/11/2015,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,29.0
185,186,02/12/2017,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,7.16
186,187,30/08/2015,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8
187,188,22/07/2017,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224000000000004
188,189,22/07/2017,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016
189,190,14/10/2016,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.1360000000001
190,191,14/10/2016,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76
191,192,14/10/2016,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,51.84
192,193,14/10/2016,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352
193,194,14/10/2016,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9
194,195,06/11/2016,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,14.28
195,196,25/03/2015,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.4079999999999995
196,197,25/03/2015,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.047999999999999
197,198,13/11/2018,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,46.26
198,199,13/07/2018,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946
199,200,13/07/2018,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.055999999999997
200,201,29/06/2018,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744
201,202,05/08/2015,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75
202,203,05/08/2015,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6
203,204,21/12/2018,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,66.28399999999999
204,205,07/06/2018,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168
205,206,14/12/2018,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,444.76800000000003
206,207,07/12/2018,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92
207,208,07/12/2018,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98
208,209,07/12/2018,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",15.92
209,210,07/12/2018,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",52.29
210,211,07/12/2018,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99
211,212,13/02/2016,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,20.8
212,213,09/01/2016,OFF-LA-10004544,Office Supplies,Labels,Avery 505,23.68
213,214,09/01/2016,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45
214,215,09/01/2016,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,62.982
215,216,09/01/2016,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188.0
216,217,09/01/2016,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584
217,218,01/11/2017,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06
218,219,01/11/2017,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,302.376
219,220,27/12/2016,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.584
220,221,27/12/2016,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704
221,222,27/12/2016,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,19.776
222,223,27/12/2016,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704
223,224,27/12/2016,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,479.98800000000006
224,225,27/12/2016,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168000000000003
225,226,16/08/2016,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",2.2
226,227,16/08/2016,FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,622.45
227,228,16/08/2016,OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest,21.98
228,229,04/03/2016,FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,161.56799999999998
229,230,04/03/2016,FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",389.69599999999997
230,231,17/09/2015,OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,18.648
231,232,12/04/2018,FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,233.86
232,233,12/04/2018,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,620.6145
